Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,5.020000,5.020000,4.900000,4.900000,4.832100,102483
2020-09-01,4.780000,5.160000,4.780000,5.150000,5.078635,553641
2020-09-02,5.100000,5.140000,5.020000,5.060000,4.989883,145380
2020-09-03,5.070000,5.080000,4.960000,4.960000,4.891269,119690
2020-09-04,4.880000,4.960000,4.870000,4.910000,4.841961,44516
2020-09-07,4.810000,4.855000,4.750000,4.810000,4.743347,40742
2020-09-08,4.810000,4.910000,4.700000,4.700000,4.634871,68434
2020-09-09,4.750000,4.820000,4.620000,4.720000,4.654594,61908
2020-09-10,4.680000,4.775000,4.530000,4.720000,4.654594,90067
2020-09-11,4.700000,4.770000,4.660000,4.750000,4.684178,25955
2020-09-14,4.750000,4.750000,4.610000,4.660000,4.595426,62448
2020-09-15,4.720000,4.730000,4.660000,4.670000,4.605287,13978
2020-09-16,4.760000,4.760000,4.680000,4.690000,4.625010,19228
2020-09-17,4.640000,4.700000,4.620000,4.630000,4.605117,1052157
2020-09-18,4.710000,4.720000,4.620000,4.620000,4.595171,15797
2020-09-21,4.610000,4.730000,4.360000,4.550000,4.525548,50489
2020-09-22,4.550000,4.570000,4.430000,4.530000,4.505655,183972
2020-09-23,4.520000,4.640000,4.490000,4.600000,4.575278,50433
2020-09-24,4.580000,4.700000,4.510000,4.700000,4.674741,43880
2020-09-25,4.700000,4.700000,4.610000,4.700000,4.674741,22363
2020-09-28,4.820000,4.840000,4.600000,4.650000,4.625010,101671
2020-09-29,4.650000,4.770000,4.640000,4.710000,4.684687,56906
2020-09-30,4.700000,4.750000,4.580000,4.750000,4.724473,21605
2020-10-01,4.750000,4.765000,4.630000,4.640000,4.615063,139393
2020-10-02,4.740000,4.780000,4.620000,4.620000,4.595171,382914
2020-10-05,4.640000,4.720000,4.620000,4.650000,4.625010,43278
2020-10-06,4.640000,4.700000,4.610000,4.650000,4.625010,1299078
2020-10-07,4.700000,4.730000,4.560000,4.630000,4.605117,194909
2020-10-08,4.680000,4.680000,4.530000,4.650000,4.625010,119069
2020-10-09,4.680000,4.690000,4.600000,4.650000,4.625010,44543
2020-10-12,4.670000,4.700000,4.640000,4.700000,4.674741,38090
2020-10-13,4.700000,4.770000,4.580000,4.650000,4.625010,154853
2020-10-14,4.650000,4.750000,4.580000,4.750000,4.724473,130509
2020-10-15,4.780000,5.040000,4.760000,5.030000,5.002968,144534
2020-10-16,4.920000,4.990000,4.890000,4.920000,4.893559,36489
2020-10-19,4.950000,4.990000,4.930000,4.960000,4.933344,42729
2020-10-20,4.980000,4.980000,4.830000,4.890000,4.863720,46229
2020-10-21,4.950000,4.950000,4.830000,4.860000,4.833881,92175
2020-10-22,4.860000,4.930000,4.810000,4.840000,4.813989,79944
2020-10-23,4.860000,4.860000,4.710000,4.720000,4.694633,20939
2020-10-26,4.760000,4.820000,4.680000,4.680000,4.654848,18511
2020-10-27,4.680000,4.830000,4.540000,4.640000,4.615063,67931
2020-10-28,4.660000,4.720000,4.580000,4.630000,4.605117,27850
2020-10-29,4.540000,4.640000,4.500000,4.600000,4.575278,61684
2020-10-30,4.645000,4.645000,4.340000,4.540000,4.515601,381993
2020-11-02,4.540000,4.590000,4.510000,4.580000,4.555386,108083
2020-11-03,4.550000,4.720000,4.530000,4.600000,4.575278,86069
2020-11-04,4.600000,4.730000,4.560000,4.700000,4.674741,75322
2020-11-05,4.700000,4.700000,4.490000,4.700000,4.674741,156379
2020-11-06,4.610000,4.790000,4.610000,4.710000,4.684687,51658
2020-11-09,4.740000,4.880000,4.700000,4.840000,4.813989,51392
2020-11-10,4.860000,4.890000,4.740000,4.780000,4.754311,110424
2020-11-11,4.890000,4.890000,4.650000,4.650000,4.625010,51811
2020-11-12,4.660000,4.740000,4.640000,4.730000,4.704580,23162
2020-11-13,4.680000,4.770000,4.640000,4.670000,4.644902,57802
2020-11-16,4.670000,4.670000,4.670000,4.670000,4.644902,376
2020-11-17,4.740000,4.840000,4.610000,4.610000,4.585225,63516
2020-11-18,4.720000,4.810000,4.630000,4.680000,4.654848,42036
2020-11-19,4.830000,4.830000,4.630000,4.750000,4.724473,38528
2020-11-20,4.720000,4.750000,4.640000,4.700000,4.674741,24682
2020-11-23,4.700000,4.700000,4.600000,4.620000,4.595171,33151
2020-11-24,4.650000,4.650000,4.560000,4.580000,4.555386,54438
2020-11-25,4.580000,4.610000,4.410000,4.410000,4.386300,70437
2020-11-26,4.400000,4.500000,4.350000,4.480000,4.455924,79200
2020-11-27,4.480000,4.720000,4.410000,4.610000,4.585225,154971
2020-11-30,4.610000,4.750000,4.610000,4.750000,4.724473,209333
2020-12-01,4.750000,5.100000,4.750000,5.100000,5.072591,130697
2020-12-02,5.080000,5.080000,4.910000,4.930000,4.903505,115900
2020-12-03,4.950000,4.990000,4.830000,4.890000,4.863720,244787
2020-12-04,4.870000,5.020000,4.870000,5.000000,4.973129,63216
